record_type,experiment,figure_hint,policy,seed,mode,slot,x_name,x_value,x_unit,density_max_vehicles,task_load_scale,communication_range_m,min_speed_mps,safe_distance_m,acceleration_mps2,opportunity_cost_lambda,value_of_time,base_price_scale,min_speed,avg_speed,throughput,traffic_flow_proxy,total_payment,stageII_cost,stageII_benefit,total_cost,social_welfare,unit_speed_gain_cost,task_completion_rate,avg_latency,max_latency,p95_latency,resource_utilization,helper_participation_rate,helper_load_jain_index,cluster_reconfiguration_count,min_target_speed,avg_target_speed,avg_speed_gain,estimated_avg_travel_time,baseline_maintenance_ratio,actual_min_speed_ratio,speed_drop_probability,bottleneck_recovery_slot,time_slot
summary,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,18.6875,23.460416666666667,24.0,563.0500000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06482641128890676,0.0693647357592463,0.06896671773376112,0.0019524921875187112,0.0,0.3832708383625684,0.0,20.484092485089928,23.700491990589672,0.24007532392300787,42.624988899742476,1.0,0.3,0.0,14,
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,0,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,16.5,23.150000000000002,24,555.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08498529046130662,0.09909247965606614,0.09786780880841943,0.004847502005097185,0.0,0.20812978837447457,0,21.613641616966436,23.9032186268236,0.753218626823604,43.19654427645788,1.0,0.0,,,0
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,1,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,16.75,23.202083333333334,24,556.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08498529046130662,0.09909247965606614,0.09786780880841943,0.004847502005097185,0.0,0.20812978837447457,0,21.613641616966436,23.9032186268236,0.7011352934902706,43.099577983298914,1.0,0.0,,,1
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,2,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,17.0,23.254166666666666,24,558.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08498529046130662,0.09909247965606614,0.09786780880841943,0.004847502005097185,0.0,0.20812978837447457,0,21.613641616966436,23.9032186268236,0.6490519601569372,43.00304604909515,1.0,0.0,,,2
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,3,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,17.25,23.306250000000002,24,559.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08498529046130662,0.09909247965606614,0.09786780880841943,0.004847502005097185,0.0,0.20812978837447457,0,21.613641616966436,23.9032186268236,0.596968626823604,42.90694556181281,1.0,0.0,,,3
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,4,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,17.5,23.358333333333334,24,560.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08498529046130662,0.09909247965606614,0.09786780880841943,0.004847502005097185,0.0,0.20812978837447457,0,21.613641616966436,23.9032186268236,0.5448852934902706,42.81127363539065,1.0,0.0,,,4
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,5,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,17.75,23.410416666666666,24,561.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08498529046130662,0.09909247965606614,0.09786780880841943,0.004847502005097185,0.0,0.20812978837447457,0,21.613641616966436,23.9032186268236,0.4928019601569373,42.71602740945092,1.0,0.0,,,5
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,6,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,18.0,23.462500000000002,24,563.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09603080253694934,0.09909247965606614,0.09878631194415446,0.001977414922240932,0.0,0.08331901850226091,0,20.0,23.69355882330513,0.23105882330512909,42.62120404901438,1.0,0.0,,,6
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,7,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,18.25,23.483333333333334,24,563.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09603080253694934,0.09909247965606614,0.09878631194415446,0.001977414922240932,0.0,0.08331901850226091,0,20.0,23.69355882330513,0.21022548997179577,42.583392476933994,1.0,0.0,,,7
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,8,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,18.5,23.504166666666666,24,564.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09909247965606614,0.09909247965606614,0.09909247965606614,0.0010016669792182074,0.0,0.041666666666666664,0,20.0,23.63390173404027,0.12973506737360152,42.54564793476334,1.0,0.0,,,8
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,9,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,18.75,23.514583333333334,24,564.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09909247965606614,0.09909247965606614,0.09909247965606614,0.0010016669792182074,0.0,0.041666666666666664,0,20.0,23.63390173404027,0.11931840070693485,42.52680074421901,1.0,0.0,,,9
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,10,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,19.0,23.525000000000002,24,564.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09909247965606614,0.09909247965606614,0.09909247965606614,0.0010016669792182074,0.0,0.041666666666666664,0,20.0,23.63390173404027,0.10890173404026819,42.507970244420825,1.0,0.0,,,10
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,11,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,19.25,23.535416666666666,24,564.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09909247965606614,0.09909247965606614,0.09909247965606614,0.0010016669792182074,0.0,0.041666666666666664,0,20.0,23.63390173404027,0.09848506737360152,42.48915641320705,1.0,0.0,,,11
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,12,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,19.5,23.545833333333334,24,565.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09909247965606614,0.09909247965606614,0.09909247965606614,0.0010016669792182074,0.0,0.041666666666666664,0,20.0,23.63390173404027,0.08806840070693485,42.47035922845514,1.0,0.0,,,12
slot,method_comparison,main_table_task_offloading_effectiveness,local-only,7,demo,13,method,local-only,,24,0.005,300.0,20.0,80.0,3.0,1.0,1.0,1.8333333333333334e-09,19.75,23.556250000000002,24,565.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09909247965606614,0.09909247965606614,0.09909247965606614,0.0010016669792182074,0.0,0.041666666666666664,0,20.0,23.63390173404027,0.07765173404026819,42.451578668081716,1.0,0.0,,,13
